player_api_id,player_name,rating_growth
40668,Pedro Mosquera,25.0
181069,Matz Sels,25.0
183530,Andy Delort,25.0
198099,Bartosz Bereszynski,25.0
199810,Lindsay Rose,25.0
93359,Brahim Ferradj,25.0
93996,Alexandre Cuvillier,25.0
97323,Jo Inge Berget,25.0
109651,Gregory van der Wiel,25.0
173609,Ivan Martic,25.0
143365,Wilfried Bony,25.0
176300,Xherdan Shaqiri,25.0
128456,Abdelhamid El Kaoutari,25.0
131995,Benjamin Moukandjo,25.0
121633,David Alaba,25.0
178778,Oliver Baumann,25.0
120917,Ahmed Kashi,25.0
22543,Radamel Falcao,25.0
174472,Iago Aspas,25.0
150299,Joao Real,25.0
150323,Ander Iturraspe,25.0
150242,Eloy Room,25.0
161683,Konstantinos Manolas,25.0
27774,Christian Traesch,25.0
148315,Christian Benteke,24.83333333333333
318809,Sam Larsson,24.75
27234,Martin Harnik,24.599999999999994
38907,Nicki Bille Nielsen,24.57142857142857
163228,Jamie Ness,24.5
102699,Foued Kadir,24.5
182917,David De Gea,24.33333333333333
166676,Victor Wanyama,24.25
155782,Aaron Cresswell,24.16666666666667
8893,Antoine Rey,24.0
27659,Salvatore Sirigu,24.0
164031,Nicolas Gaitan,24.0
159882,Kevin Theophile-Catherine,24.0
47558,Joe Allen,24.0
46893,Morgan Schneiderlin,24.0
69244,Tomasz Jodlowiec,24.0
157101,Markus Henriksen,24.0
25421,Jamie O'Hara,24.0
26374,Mevlut Erdinc,24.0
166670,Lucas van Eenoo,24.0
196185,Arkadiusz Piech,24.0
72541,Cesar Azpilicueta,24.0
93453,Kamil Bilinski,24.0
185433,Torgeir Boerven,24.0
94916,Lars Stindl,24.0
150316,Michel,24.0
141370,Sebastian Rode,24.0
182224,Mikel San Jose,24.0
121080,Philippe Koch,24.0
181910,Mattia Perin,24.0
121716,Juan Forlin,24.0
95336,Fraser Forster,24.0
190972,Marco Verratti,24.0
191315,Isco,24.0
127712,Declan Rudd,24.0
169200,Kevin de Bruyne,24.0
11685,Antonio Candreva,24.0
168047,Adrian Stoian,24.0
195299,Serge Aurier,24.0
215551,Scott Allan,24.0
45241,Joao Ribeiro,24.0
94030,Jeremy Taravel,24.0
150083,Tarantini,24.0
167589,Kevin Vogt,24.0
58351,Ibrahima Traore,24.0
162497,Jose Angel,24.0
36878,Thomas Kraft,23.85714285714286
214972,Geoffrey Kondogbia,23.799999999999997
178293,Laurens De Bock,23.75
46518,Asmir Begovic,23.75
116085,Eoin Doyle,23.714285714285708
148830,Benjamin Andre,23.66666666666667
182892,Lukas Rupp,23.66666666666667
79264,Kian Hansen,23.611111111111114
280965,Benjamin Mendy,23.5
149962,Nicolas N'Koulou,23.5
196238,Damian Dabrowski,23.5
94306,Joris Delle,23.5
74435,Domingo Cisma,23.5
166020,Tongo Hamed Doumbia,23.5
38229,Bryan Ruiz,23.5
162679,Danny Latza,23.5
27671,Luca Cigarini,23.41666666666667
194165,Harry Kane,23.33333333333333
210682,Zacharie Boucher,23.33333333333333
161655,Enock Kofi Adu,23.25
154867,Fabrice N'Sakala,23.25
182776,Archimede Morleo,23.200000000000003
110169,Aron Gunnarsson,23.14285714285714
56916,Aurelien Chedjou,23.099999999999994
257847,Jores Okore,23.0
